ID,scaffold,start,end,df_Initial.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Residuals
Scaffold_06:57201917-57201943,Scaffold_06,57201917,57201943,2,8,0.507443885379113,0.886380090147206,0.253721942689556,0.110797511268401,2.2899606659479,NA,0.163549133254639,NA
Scaffold_01:24305706-24305892,Scaffold_01,24305706,24305892,2,9,0.160457216362121,0.325820809088112,0.0802286081810605,0.0362023121209013,2.2161183493786,NA,0.164977143438073,NA
Scaffold_02:13714140-13714172,Scaffold_02,13714140,13714172,2,9,0.2610251007264,0.530907319252381,0.1305125503632,0.0589897021391535,2.21246328817407,NA,0.165381777889405,NA
Scaffold_05:34333331-34333490,Scaffold_05,34333331,34333490,2,9,0.145337558371514,0.297084527663003,0.072668779185757,0.0330093919625558,2.20145767205251,NA,0.16660750366199,NA
Scaffold_03:52863027-52863147,Scaffold_03,52863027,52863147,2,9,0.556059233564178,1.14642123226544,0.278029616782089,0.127380136918382,2.18267638509632,NA,0.168724975860784,NA
Scaffold_14:4531008-4531127,Scaffold_14,4531008,4531127,2,9,0.300943774588089,0.62063031707186,0.150471887294045,0.0689589241190955,2.18205097043237,NA,0.168796051585802,NA
Scaffold_16:18255154-18255259,Scaffold_16,18255154,18255259,2,9,0.183148079981744,0.378368611718133,0.0915740399908722,0.0420409568575703,2.17821017492808,NA,0.169233345054802,NA
Scaffold_14:43231847-43232167,Scaffold_14,43231847,43232167,2,9,0.0254596052617165,0.0532509721444289,0.0127298026308582,0.00591677468271432,2.15147665974977,NA,0.172315756249951,NA
Scaffold_07:40529277-40529941,Scaffold_07,40529277,40529941,2,9,0.437512443351714,0.916700467744584,0.218756221675857,0.101855607527176,2.14770916385228,NA,0.172755651223147,NA
Scaffold_13:33055342-33055469,Scaffold_13,33055342,33055469,2,9,0.00723706911288592,0.01518907758368,0.00361853455644296,0.00168767528707556,2.1440940589426,NA,0.173179043986514,NA
Scaffold_04:61170606-61170923,Scaffold_04,61170606,61170923,2,9,0.00828495820356568,0.0176051638534584,0.00414247910178284,0.00195612931705094,2.11769184464146,NA,0.176309973867756,NA
Scaffold_16:26709086-26709144,Scaffold_16,26709086,26709144,2,8,0.569397580407573,1.07289004626917,0.284698790203787,0.134111255783647,2.12285530055041,NA,0.182147821427443,NA
Scaffold_08:28050697-28050791,Scaffold_08,28050697,28050791,2,7,0.871759518282793,1.39947322717037,0.435879759141396,0.199924746738625,2.18021913871049,NA,0.183637062649878,NA
Scaffold_14:17566981-17567097,Scaffold_14,17566981,17567097,2,9,0.0427370283311074,0.0937658549539716,0.0213685141655537,0.0104184283282191,2.05103049062357,NA,0.184528316024343,NA
Scaffold_01:87636625-87636720,Scaffold_01,87636625,87636720,2,8,0.48807576263926,0.930409692960517,0.24403788131963,0.116301211620065,2.09832621621225,NA,0.185096137542468,NA
Scaffold_03:1472880-1472953,Scaffold_03,1472880,1472953,2,9,0.0845188312685183,0.186605345338379,0.0422594156342592,0.0207339272598199,2.03817709518801,NA,0.186166379442071,NA
Scaffold_13:44152726-44152838,Scaffold_13,44152726,44152838,2,7,1.04373462729353,1.70830188348128,0.521867313646764,0.244043126211612,2.13842250649686,NA,0.188445816013739,NA
Scaffold_01:45815232-45815306,Scaffold_01,45815232,45815306,2,6,0.279955751670213,0.378926886187928,0.139977875835106,0.0631544810313214,2.21643616651183,NA,0.190213822117331,NA
Scaffold_04:10778766-10779132,Scaffold_04,10778766,10779132,2,9,0.209773510680448,0.473605493359566,0.104886755340224,0.0526228325955074,1.9931795794128,NA,0.192042764133096,NA
Scaffold_06:11136589-11136974,Scaffold_06,11136589,11136974,2,8,0.224223251858365,0.439403466000116,0.112111625929182,0.0549254332500145,2.04116052064373,NA,0.192202248031701,NA
Scaffold_02:50890444-50890542,Scaffold_02,50890444,50890542,2,9,0.560603332199805,1.27520624193723,0.280301666099902,0.141689582437471,1.97827999262827,NA,0.194038360868497,NA
Scaffold_14:18371956-18372211,Scaffold_14,18371956,18372211,2,9,0.0312325802733855,0.0720466302610163,0.0156162901366928,0.00800518114011292,1.95077286364472,NA,0.197789592386056,NA
Scaffold_05:20633985-20634060,Scaffold_05,20633985,20634060,2,7,0.142953894907491,0.244185898982171,0.0714769474537454,0.0348836998545958,2.04900706495239,NA,0.199289621845996,NA
Scaffold_04:10766939-10767423,Scaffold_04,10766939,10767423,2,9,0.726131480036991,1.691843532586,0.363065740018496,0.187982614731778,1.93137934875804,NA,0.200487703615488,NA
Scaffold_18:15377143-15377226,Scaffold_18,15377143,15377226,2,9,0.149457709091155,0.349854541364788,0.0747288545455774,0.0388727268183098,1.922398058023,NA,0.201752453239678,NA
Scaffold_03:54609876-54609909,Scaffold_03,54609876,54609909,2,9,0.071104006186894,0.167223069434501,0.035552003093447,0.0185803410482779,1.91342037269774,NA,0.203026454443762,NA
Scaffold_14:18372410-18372627,Scaffold_14,18372410,18372627,2,9,0.105848238059875,0.250762622621465,0.0529241190299375,0.0278625136246072,1.89947395784122,NA,0.205025117582282,NA
Scaffold_03:37819570-37819618,Scaffold_03,37819570,37819618,2,9,0.206657259317122,0.490228196052773,0.103328629658561,0.0544697995614193,1.89698934988827,NA,0.20538370662429,NA
Scaffold_01:81511812-81511904,Scaffold_01,81511812,81511904,2,8,0.289243499223708,0.597468199748961,0.144621749611854,0.0746835249686201,1.93646121648141,NA,0.206124410157209,NA
Scaffold_06:2237816-2238146,Scaffold_06,2237816,2238146,2,9,0.421869107917986,1.0064901119483,0.210934553958993,0.111832234660923,1.88616953420049,NA,0.206954233926814,NA
Scaffold_15:36765460-36765515,Scaffold_15,36765460,36765515,2,8,0.784946296346052,1.62752726224005,0.392473148173026,0.203440907780006,1.9291751715807,NA,0.207139460118145,NA
Scaffold_14:41136670-41136910,Scaffold_14,41136670,41136910,2,9,0.173843700588313,0.416498191060962,0.0869218502941563,0.0462775767845513,1.87827142935395,NA,0.208109941056906,NA
Scaffold_01:25433618-25433756,Scaffold_01,25433618,25433756,2,9,0.10492715099595,0.252972486325647,0.0524635754979752,0.028108054036183,1.86649618043425,NA,0.209847664029793,NA
Scaffold_14:1850103-1850983,Scaffold_14,1850103,1850983,2,9,0.359722910284998,0.87342735837592,0.179861455142499,0.0970474842639911,1.85333454552243,NA,0.211811020180629,NA
Scaffold_18:12969294-12969402,Scaffold_18,12969294,12969402,2,9,0.224729624306747,0.548457512922113,0.112364812153373,0.0609397236580126,1.84386809470869,NA,0.213237048479279,NA
